"Year" "Flood"
"107" 107 10.9218
"108" 108 10.69
"109" 109 10.5748
"110" 110 10.9986
"111" 111 10.941
"112" 112 10.4596
"113" 113 10.9602
"114" 114 10.151
"115" 115 10.0742
"116" 116 10.1126
"117" 117 9.767
"118" 118 10.4212
"119" 119 10.1894
"120" 120 10.4212
"121" 121 9.8054
"122" 122 10.055
"123" 123 10.4212
"124" 124 9.6888
"125" 125 10.3636
"126" 126 9.612
"127" 127 10.0358
"128" 128 9.8438
"129" 129 9.42
"130" 130 10.306
"131" 131 10.1894
"132" 132 10.4212
"133" 133 10.4596
"134" 134 10.2278
"135" 135 11.229
"136" 136 10.4596
"137" 137 10.941
"138" 138 10.845
"139" 139 10.69
"140" 140 10.5556
"141" 141 10.402
"142" 142 11.1522
"143" 143 11.1906
"144" 144 10.8642
"145" 145 11.8064
"146" 146 11.1522
"147" 147 11.229
"148" 148 12.6156
"149" 149 13.385
"150" 150 12.7692
"151" 151 12.1918
"152" 152 11.4416
"153" 153 11.6144
"154" 154 10.9794
"155" 155 10.5346
"156" 156 10.7284
"157" 157 10.0742
"158" 158 10.402
"159" 159 10.306
"160" 160 10.3828
"161" 161 10.0166
"162" 162 9.959
"163" 163 10.5748
"164" 164 12.6924
"165" 165 8.9002
"166" 166 8.9002
"167" 167 10.6516
"168" 168 10.6132
"169" 169 10.6516
"170" 170 10.3828
"171" 171 10.4788
"172" 172 10.9026
"173" 173 10.8244
"174" 174 10.6132
"175" 175 10.4212
"176" 176 10.8834
"177" 177 11.1714
"178" 178 12.1534
"179" 179 11.1714
"180" 180 10.845
"181" 181 10.306
"182" 182 11.4224
"183" 183 10.594
"184" 184 12.2302
"185" 185 12.3454
"186" 186 11.768
"187" 187 11.384
"188" 188 12.3646
"189" 189 11.768
"190" 190 10.8052
"191" 191 10.3444
"192" 192 10.3444
"193" 193 10.3636
"194" 194 10.5172
"195" 195 10.5172
"196" 196 10.306
"197" 197 10.3828
"198" 198 11.923
"199" 199 11.9422
"200" 200 10.5364
"201" 201 11.229
"202" 202 11.384
"203" 203 11.384
"204" 204 10.498
"205" 205 10.151
"206" 206 11.768
"207" 207 10.2086
"208" 208 11.2482
"209" 209 10.5172
"210" 210 10.9602
"211" 211 11.4416
"212" 212 10.8642
"213" 213 10.7284
"214" 214 10.5556
"215" 215 12.1726
"216" 216 11.0562
"217" 217 11.0178
"218" 218 10.0934
"219" 219 10.6132
"220" 220 10.9602
"221" 221 10.8052
"222" 222 10.8052
"223" 223 10.8052
"224" 224 10.9218
"225" 225 10.2086
"226" 226 9.863
"227" 227 9.9782
"228" 228 9.9974
"229" 229 8.8042
"230" 230 10.3252
"231" 231 9.4584
"232" 232 9.959
"233" 233 9.9782
"234" 234 10.0166
"235" 235 10.055
"236" 236 10.0934
"237" 237 11.229
"238" 238 11.229
"239" 239 10.7668
"240" 240 10.151
"241" 241 10.5748
"242" 242 10.845
"243" 243 11.6528
"244" 244 11.48
"245" 245 12.1726
"246" 246 12.2494
"247" 247 11.1138
"248" 248 12.3262
"249" 249 9.767
"250" 250 10.055
"251" 251 9.863
"252" 252 10.9986
"253" 253 10.2278
"254" 254 9.073
"255" 255 10.0166
"256" 256 11.1714
"257" 257 10.845
"258" 258 10.69
"259" 259 11.2098
"260" 260 10.845
"261" 261 10.306
"262" 262 10.7092
"263" 263 10.306
"264" 264 10.2086
"265" 265 10.786
"266" 266 10.402
"267" 267 8.689
"268" 268 10.0934
"269" 269 10.0934
"270" 270 10.306
"271" 271 10.7284
"272" 272 11.768
"273" 273 10.845
"274" 274 9.767
"275" 275 9.767
"276" 276 9.767
"277" 277 9.9974
"278" 278 10.5364
"279" 279 10.6516
"280" 280 10.7284
"281" 281 10.247
"282" 282 9.863
"283" 283 9.7862
"284" 284 9.9974
"285" 285 10.69
"286" 286 10.0358
"287" 287 10.3444
"288" 288 11.5184
"289" 289 11.229
"290" 290 10.306
"291" 291 11.325
"292" 292 10.498
"293" 293 10.9218
"294" 294 10.845
"295" 295 9.5352
"296" 296 10.306
"297" 297 10.6516
"298" 298 9.3816
"299" 299 9.612
"300" 300 9.767
"301" 301 9.767
"302" 302 9.073
"303" 303 10.306
"304" 304 10.9986
"305" 305 11.768
"306" 306 12.558
"307" 307 11.3442
"308" 308 10.69
"309" 309 9.9206
"310" 310 9.324
"311" 311 10.151
"312" 312 10.5748
"313" 313 10.69
"314" 314 11.923
"315" 315 10.69
"316" 316 10.7476
"317" 317 10.151
"318" 318 10.69
"319" 319 10.498
"320" 320 10.594
"321" 321 10.151
"322" 322 11.768
"323" 323 10.6516
"324" 324 10.402
"325" 325 10.4212
"326" 326 11.037
"327" 327 11.037
"328" 328 11.229
"329" 329 11.1714
"330" 330 11.2674
"331" 331 12.7884
"332" 332 12.0574
"333" 333 11.576
"334" 334 12.3646
"335" 335 10.7476
"336" 336 10.845
"337" 337 10.845
"338" 338 11.1138
"339" 339 11.1138
"340" 340 10.845
"341" 341 10.6132
"342" 342 10.594
"343" 343 10.845
"344" 344 10.9794
"345" 345 9.9974
"346" 346 11.2674
"347" 347 10.0358
"348" 348 10.4212
"349" 349 12.211
"350" 350 11.0754
"351" 351 10.5748
"352" 352 10.2278
"353" 353 12.307
"354" 354 10.3636
"355" 355 11.8448
"356" 356 10.498
"357" 357 10.498
"358" 358 10.498
"359" 359 10.0934
"360" 360 11.229
"361" 361 10.1318
"362" 362 10.3444
"363" 363 10.2854
"364" 364 10.7284
"365" 365 10.8244
"366" 366 10.9986
"367" 367 10.7092
"368" 368 11.1906
"369" 369 11.1714
"370" 370 11.1138
"371" 371 11.7104
"372" 372 11.7104
"373" 373 11.576
"374" 374 11.1714
"375" 375 11.1906
"376" 376 10.8052
"377" 377 11.3442
"378" 378 11.4992
"379" 379 11.4416
"380" 380 11.4224
"381" 381 10.9602
"382" 382 10.6324
"383" 383 10.5172
"384" 384 10.6516
"385" 385 11.8064
"386" 386 13.8472
"387" 387 12.2686
"388" 388 12.0766
"389" 389 12.0766
"390" 390 11.0754
"391" 391 12.019
"392" 392 12.462
"393" 393 12.6348
"394" 394 12.019
"395" 395 11.7296
"396" 396 11.7296
"397" 397 11.4416
"398" 398 11.9806
"399" 399 12.75
"400" 400 12.75
"401" 401 12.1918
"402" 402 12.2302
"403" 403 12.1534
"404" 404 11.923
"405" 405 11.8064
"406" 406 13.54
"407" 407 11.9998
"408" 408 11.8832
"409" 409 12.654
"410" 410 12.3838
"411" 411 12.9806
"412" 412 12.5196
"413" 413 12.7884
"414" 414 12.0766
"415" 415 12.4222
"416" 416 11.9998
"417" 417 11.9614
"418" 418 10.4404
"419" 419 11.325
"420" 420 12.211
"421" 421 11.3058
"422" 422 11.5376
"423" 423 11.384
"424" 424 10.8642
"425" 425 11.1138
"426" 426 11.7296
"427" 427 11.384
"428" 428 10.845
"429" 429 10.0742
"430" 430 10.845
"431" 431 10.0934
"432" 432 10.0358
"433" 433 11.4224
"434" 434 10.9026
"435" 435 12.0766
"436" 436 11.8448
"437" 437 11.4224
"438" 438 11.5184
"439" 439 11.133
"440" 440 11.5184
"441" 441 11.2098
"442" 442 11.7488
"443" 443 11.7872
"444" 444 11.923
"445" 445 12.2686
"446" 446 11.037
"447" 447 11.1138
"448" 448 11.0946
"449" 449 11.0946
"450" 450 12.6156
"451" 451 11.325
"452" 452 11.6528
"453" 453 10.7668
"454" 454 11.1138
"455" 455 10.69
"456" 456 11.1906
"457" 457 11.923
"458" 458 10.9794
"459" 459 11.229
"460" 460 11.6912
"461" 461 11.7872
"462" 462 11.6912
"463" 463 11.7872
"464" 464 10.9026
"465" 465 10.5556
"466" 466 10.9602
"467" 467 10.151
"468" 468 11.037
"469" 469 11.7872
"470" 470 12.1726
"471" 471 12.2878
"472" 472 12.1534
"473" 473 11.5376
"474" 474 11.6144
"475" 475 11.133
"476" 476 11.325
"477" 477 11.768
"478" 478 11.8256
"479" 479 11.4416
"480" 480 11.48
"481" 481 11.4224
"482" 482 11.8832
"483" 483 11.325
"484" 484 10.7668
"485" 485 10.2278
"486" 486 10.306
"487" 487 9.228
"488" 488 8.9578
"489" 489 9.7272
"490" 490 9.8822
"491" 491 10.4212
"492" 492 12.1918
"493" 493 10.845
"494" 494 10.9794
"495" 495 11.229
"496" 496 11.229
"497" 497 10.4212
"498" 498 10.4212
"499" 499 10.498
"500" 500 10.498
"501" 501 10.0358
"502" 502 10.3828
"503" 503 10.5748
"504" 504 11.4992
"505" 505 10.5364
"506" 506 9.9974
"507" 507 9.8822
"508" 508 9.9014
"509" 509 10.5364
"510" 510 9.767
"511" 511 10.5364
"512" 512 10.69
"513" 513 10.69
"514" 514 11.2098
"515" 515 10.3636
"516" 516 9.228
"517" 517 8.9194
"518" 518 10.69
"519" 519 10.69
"520" 520 10.845
"521" 521 10.845
"522" 522 11.0946
"523" 523 11.923
"524" 524 11.229
"525" 525 10.69
"526" 526 10.9986
"527" 527 11.229
"528" 528 10.69
"529" 529 10.5748
"530" 530 9.767
"531" 531 10.306
"532" 532 10.69
"533" 533 11.384
"534" 534 11.3058
"535" 535 10.9602
"536" 536 10.9218
"537" 537 11.229
"538" 538 10.4404
"539" 539 10.9986
"540" 540 10.4212
"541" 541 11.0754
"542" 542 10.6132
"543" 543 10.786
"544" 544 10.6708
"545" 545 10.8052
"546" 546 11.1522
"547" 547 11.229
"548" 548 11.5184
"549" 549 10.9794
"550" 550 10.5748
"551" 551 10.3444
"552" 552 10.8244
"553" 553 11.0562
"554" 554 10.69
"555" 555 11.1522
"556" 556 11.8064
"557" 557 11.2482
"558" 558 11.9614
"559" 559 12.1342
"560" 560 11.7872
"561" 561 10.9218
"562" 562 11.6336
"563" 563 11.6336
"564" 564 11.6144
"565" 565 12.3262
"566" 566 11.384
"567" 567 9.863
"568" 568 10.845
"569" 569 10.402
"570" 570 10.306
